obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,agent,act
389.30466,384.9899,377.78824,0.005,0.005,0.01618195,1.0,0.0769,0.4469,3.802,124.712,C_ctrl,7
389.30466,384.9899,377.78824,0.005,0.005,0.01618195,1.0,0.0769,0.4469,3.802,124.712,EMS,1
375.66656,389.09467,400.0,0.0162356,0.005,0.005,1.0,0.0903,0.4569,1.465,121.433,A_ctrl,8
375.66656,389.09467,400.0,0.0162356,0.005,0.005,1.0,0.0903,0.4569,1.465,121.433,B_ctrl,8
375.66656,389.09467,400.0,0.0162356,0.005,0.005,1.0,0.0903,0.4569,1.465,121.433,C_ctrl,4
375.66656,389.09467,400.0,0.0162356,0.005,0.005,1.0,0.0903,0.4569,1.465,121.433,EMS,1
385.27173,383.3953,387.02246,0.005,0.005,0.01607165,1.0,0.0789,0.4686,0.0,106.087,A_ctrl,2
385.27173,383.3953,387.02246,0.005,0.005,0.01607165,1.0,0.0789,0.4686,0.0,106.087,B_ctrl,8
385.27173,383.3953,387.02246,0.005,0.005,0.01607165,1.0,0.0789,0.4686,0.0,106.087,C_ctrl,6
385.27173,383.3953,387.02246,0.005,0.005,0.01607165,1.0,0.0789,0.4686,0.0,106.087,EMS,2
367.137,400.0,383.229,0.00780435,0.005,0.00780435,1.0,0.0736,0.4688,7.569,117.616,A_ctrl,8
367.137,400.0,383.229,0.00780435,0.005,0.00780435,1.0,0.0736,0.4688,7.569,117.616,B_ctrl,8
367.137,400.0,383.229,0.00780435,0.005,0.00780435,1.0,0.0736,0.4688,7.569,117.616,C_ctrl,4
367.137,400.0,383.229,0.00780435,0.005,0.00780435,1.0,0.0736,0.4688,7.569,117.616,EMS,1
389.0675,394.34583,386.18167,0.005,0.005,0.0158808,1.0,0.0803,0.4369,0.0,114.467,A_ctrl,8
389.0675,394.34583,386.18167,0.005,0.005,0.0158808,1.0,0.0803,0.4369,0.0,114.467,B_ctrl,8
389.0675,394.34583,386.18167,0.005,0.005,0.0158808,1.0,0.0803,0.4369,0.0,114.467,C_ctrl,4
389.0675,394.34583,386.18167,0.005,0.005,0.0158808,1.0,0.0803,0.4369,0.0,114.467,EMS,1
397.08258,387.4775,374.17517,0.005,0.005,0.01572335,1.0,0.0746,0.4398,0.541,115.907,A_ctrl,8
397.08258,387.4775,374.17517,0.005,0.005,0.01572335,1.0,0.0746,0.4398,0.541,115.907,B_ctrl,8
397.08258,387.4775,374.17517,0.005,0.005,0.01572335,1.0,0.0746,0.4398,0.541,115.907,C_ctrl,4
397.08258,387.4775,374.17517,0.005,0.005,0.01572335,1.0,0.0746,0.4398,0.541,115.907,EMS,1
391.5984,389.89636,371.68042,0.005,0.005,0.01579535,1.0,0.0762,0.4638,1.764,125.73,A_ctrl,8
391.5984,389.89636,371.68042,0.005,0.005,0.01579535,1.0,0.0762,0.4638,1.764,125.73,B_ctrl,8
391.5984,389.89636,371.68042,0.005,0.005,0.01579535,1.0,0.0762,0.4638,1.764,125.73,C_ctrl,4
391.5984,389.89636,371.68042,0.005,0.005,0.01579535,1.0,0.0762,0.4638,1.764,125.73,EMS,1
390.13983,394.80695,376.18607,0.005,0.005,0.0162865,1.0,0.082,0.4383,0.0,115.971,A_ctrl,8
390.13983,394.80695,376.18607,0.005,0.005,0.0162865,1.0,0.082,0.4383,0.0,115.971,B_ctrl,8
390.13983,394.80695,376.18607,0.005,0.005,0.0162865,1.0,0.082,0.4383,0.0,115.971,C_ctrl,1
390.13983,394.80695,376.18607,0.005,0.005,0.0162865,1.0,0.082,0.4383,0.0,115.971,EMS,1
400.0,392.08823,366.5593,0.005,0.005,0.005,1.0,0.0828,0.4355,2.862,122.884,A_ctrl,8
400.0,392.08823,366.5593,0.005,0.005,0.005,1.0,0.0828,0.4355,2.862,122.884,B_ctrl,8
400.0,392.08823,366.5593,0.005,0.005,0.005,1.0,0.0828,0.4355,2.862,122.884,C_ctrl,4
400.0,392.08823,366.5593,0.005,0.005,0.005,1.0,0.0828,0.4355,2.862,122.884,EMS,1
388.2249,382.94232,367.17282,0.005,0.005,0.0161442,1.0,0.0769,0.4437,0.0,114.487,A_ctrl,8
388.2249,382.94232,367.17282,0.005,0.005,0.0161442,1.0,0.0769,0.4437,0.0,114.487,B_ctrl,8
388.2249,382.94232,367.17282,0.005,0.005,0.0161442,1.0,0.0769,0.4437,0.0,114.487,C_ctrl,1
388.2249,382.94232,367.17282,0.005,0.005,0.0161442,1.0,0.0769,0.4437,0.0,114.487,EMS,7
392.91483,382.2766,365.23627,0.005,0.005,0.005,0.9736842,0.0849,0.4527,0.0,119.708,A_ctrl,8
392.91483,382.2766,365.23627,0.005,0.005,0.005,0.9736842,0.0849,0.4527,0.0,119.708,B_ctrl,0
392.91483,382.2766,365.23627,0.005,0.005,0.005,0.9736842,0.0849,0.4527,0.0,119.708,C_ctrl,4
392.91483,382.2766,365.23627,0.005,0.005,0.005,0.9736842,0.0849,0.4527,0.0,119.708,EMS,1
387.3448,367.13922,379.74768,0.005,0.005,0.0159854,0.9974342,0.0858,0.4473,7.481,124.025,A_ctrl,0
387.3448,367.13922,379.74768,0.005,0.005,0.0159854,0.9974342,0.0858,0.4473,7.481,124.025,B_ctrl,8
387.3448,367.13922,379.74768,0.005,0.005,0.0159854,0.9974342,0.0858,0.4473,7.481,124.025,C_ctrl,4
387.3448,367.13922,379.74768,0.005,0.005,0.0159854,0.9974342,0.0858,0.4473,7.481,124.025,EMS,1
363.62878,371.74454,373.54227,0.005,0.005,0.01620125,1.0,0.0872,0.4417,0.0,91.825,A_ctrl,7
363.62878,371.74454,373.54227,0.005,0.005,0.01620125,1.0,0.0872,0.4417,0.0,91.825,B_ctrl,8
363.62878,371.74454,373.54227,0.005,0.005,0.01620125,1.0,0.0872,0.4417,0.0,91.825,C_ctrl,7
363.62878,371.74454,373.54227,0.005,0.005,0.01620125,1.0,0.0872,0.4417,0.0,91.825,EMS,1
384.4307,392.74423,398.5656,0.005,0.005,0.005,1.0,0.0826,0.4413,0.0,109.909,A_ctrl,7
384.4307,392.74423,398.5656,0.005,0.005,0.005,1.0,0.0826,0.4413,0.0,109.909,B_ctrl,8
384.4307,392.74423,398.5656,0.005,0.005,0.005,1.0,0.0826,0.4413,0.0,109.909,C_ctrl,4
384.4307,392.74423,398.5656,0.005,0.005,0.005,1.0,0.0826,0.4413,0.0,109.909,EMS,1
393.4568,391.78085,382.06427,0.005,0.005,0.01549545,1.0,0.0868,0.4407,8.93,107.665,A_ctrl,8
393.4568,391.78085,382.06427,0.005,0.005,0.01549545,1.0,0.0868,0.4407,8.93,107.665,B_ctrl,5
393.4568,391.78085,382.06427,0.005,0.005,0.01549545,1.0,0.0868,0.4407,8.93,107.665,C_ctrl,4
393.4568,391.78085,382.06427,0.005,0.005,0.01549545,1.0,0.0868,0.4407,8.93,107.665,EMS,1
378.55972,383.02594,383.46307,0.005,0.01163325,0.01538325,1.0,0.0706,0.4388,13.702,106.373,A_ctrl,8
378.55972,383.02594,383.46307,0.005,0.01163325,0.01538325,1.0,0.0706,0.4388,13.702,106.373,B_ctrl,8
378.55972,383.02594,383.46307,0.005,0.01163325,0.01538325,1.0,0.0706,0.4388,13.702,106.373,C_ctrl,4
378.55972,383.02594,383.46307,0.005,0.01163325,0.01538325,1.0,0.0706,0.4388,13.702,106.373,EMS,6
385.0764,393.9653,375.6788,0.005,0.005,0.01531865,0.98245615,0.0784,0.4702,0.0,114.852,A_ctrl,8
385.0764,393.9653,375.6788,0.005,0.005,0.01531865,0.98245615,0.0784,0.4702,0.0,114.852,B_ctrl,8
385.0764,393.9653,375.6788,0.005,0.005,0.01531865,0.98245615,0.0784,0.4702,0.0,114.852,C_ctrl,4
385.0764,393.9653,375.6788,0.005,0.005,0.01531865,0.98245615,0.0784,0.4702,0.0,114.852,EMS,1
397.03366,397.89694,372.75134,0.005,0.005,0.0157426,1.0,0.0757,0.4501,0.0,138.86,A_ctrl,8
397.03366,397.89694,372.75134,0.005,0.005,0.0157426,1.0,0.0757,0.4501,0.0,138.86,B_ctrl,8
